State,Median Income (2011-2013) average
Maryland,"69,826"
New Hampshire,"69,453"
Connecticut,"66,905"
Virginia,"66,015"
New Jersey,"64,670"
Massachusetts,"64,373"
Alaska,"61,731"
District of Columbia,"61,365"
Minnesota,"61,162"
Colorado,"60,727"
Washington,"60,692"
Hawaii,"59,882"
Utah,"59,877"
California,"56,883"
Wyoming,"56,835"
North Dakota,"55,946"
Rhode Island,"55,159"
Vermont,"54,982"
Nebraska,"54,777"
Wisconsin,"54,342"
Oregon,"54,067"
Illinois,"54,044"
Iowa,"53,696"
Delaware,"52,839"
Pennsylvania,"52,768"
Texas,"52,169"
New York,"51,554"
South Dakota,"51,165"
Maine,"50,487"
Michigan,"50,056"
Kansas,"50,003"
Idaho,"49,847"
Arizona,"49,562"
Missouri,"49,403"
Georgia,"47,958"
Indiana,"47,805"
Oklahoma,"47,691"
Nevada,"47,371"
Florida,"47,114"
Ohio,"45,887"
Montana,"43,864"
South Carolina,"43,437"
North Carolina,"43,395"
Tennessee,"43,303"
New Mexico,"43,221"
Alabama,"43,196"
West Virginia,"42,581"
Kentucky,"41,707"
Arkansas,"40,760"
Louisiana,"40,462"
Mississippi,"40,194"
